# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.XML.time.ns,1761192692164000000,1761192752184000000,479099958
lexer.DTD.time.ns,1761192692164000000,1761192752184000000,356916
writeAction.median.wait.ms,1761192692164000000,1761192752184000000,0
writeAction.count,1761192692164000000,1761192752184000000,39
parser.DTD.size.bytes,1761192692164000000,1761192752184000000,1099
lexer.DTD.size.bytes,1761192692164000000,1761192752184000000,1099
parser.XML.size.bytes,1761192692164000000,1761192752184000000,388156
lexer.XML.time.ns,1761192692164000000,1761192752184000000,95389002
writeAction.max.wait.ms,1761192692164000000,1761192752184000000,1
writeAction.wait.ms,1761192692164000000,1761192752184000000,1
lexer.XML.size.bytes,1761192692164000000,1761192752184000000,388156
parser.DTD.time.ns,1761192692164000000,1761192752184000000,2345459
workspaceModel.cachedValue.clear.count,1761192692164000000,1761192752184000000,5
workspaceModel.update.unloaded.entities.ms,1761192692164000000,1761192752184000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1761192692164000000,1761192752184000000,136
workspaceModel.workspaceFileIndexData.processFileSets.ms,1761192692164000000,1761192752184000000,0
workspaceModel.updates.count,1761192692164000000,1761192752184000000,5
workspaceModel.cachedValue.total.get.count,1761192692164000000,1761192752184000000,1338
workspaceModel.updates.ms,1761192692164000000,1761192752184000000,30
workspaceModel.workspaceFileIndexData.markDirty.ms,1761192692164000000,1761192752184000000,0
workspaceModel.initializing.ms,1761192692164000000,1761192752184000000,0
workspaceModel.cachedValue.calculated.count,1761192692164000000,1761192752184000000,59
workspaceModel.workspaceFileIndexData.instances.count,1761192692164000000,1761192752184000000,1
workspaceModel.workspaceFileIndexData.init.ms,1761192692164000000,1761192752184000000,75
workspaceModel.loading.total.ms,1761192692164000000,1761192752184000000,188
workspaceModel.workspaceFileIndexData.getPackageName.ms,1761192692164000000,1761192752184000000,14
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1761192692164000000,1761192752184000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1761192692164000000,1761192752184000000,1
workspaceModel.collect.changes.ms,1761192692164000000,1761192752184000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1761192692164000000,1761192752184000000,25
workspaceModel.on.changed.ms,1761192692164000000,1761192752184000000,23
workspaceModel.init.bridges.ms,1761192692164000000,1761192752184000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1761192692164000000,1761192752184000000,14
workspaceModel.cachedValueWithParameters.from.cache.count,1761192692164000000,1761192752184000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1761192692164000000,1761192752184000000,7
workspaceModel.cachedValueWithParameters.calculated.count,1761192692164000000,1761192752184000000,0
workspaceModel.check.recursive.update.ms,1761192692164000000,1761192752184000000,0
workspaceModel.cachedValue.from.cache.count,1761192692164000000,1761192752184000000,1279
workspaceModel.updates.precise.ms,1761192692164000000,1761192752184000000,5
workspaceModel.on.before.changed.ms,1761192692164000000,1761192752184000000,15
workspaceModel.pre.handlers.ms,1761192692164000000,1761192752184000000,1
workspaceModel.to.snapshot.ms,1761192692164000000,1761192752184000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1761192692164000000,1761192752184000000,0
workspaceModel.loading.from.cache.ms,1761192692164000000,1761192752184000000,181
workspaceModel.cachedValueWithParameters.clear.count,1761192692164000000,1761192752184000000,0
